video_id,author,text,like_count,published_at,fetched_at,cleaned_text
OqRfZjdqpO8,@HanumanagoudaNaya,Feck,0,2025-10-27T15:20:37Z,2025-11-08T20:43:15.741823,feck
OqRfZjdqpO8,@MohanRajMoHanRaj-t7f,Noo bro 😢,0,2025-10-12T14:44:21Z,2025-11-08T20:43:15.741855,noo bro
OqRfZjdqpO8,@veluc6079,Thividiya paiya ommala unna vai la aana pollu,0,2025-09-13T09:23:42Z,2025-11-08T20:43:15.741863,thividiya paiya ommala unna vai aana pollu
OqRfZjdqpO8,@RossySharma-m,Nice,5,2025-07-24T03:12:45Z,2025-11-08T20:43:15.741869,nice
OqRfZjdqpO8,@hasnengamer2396,Fir vapis chahiye to aayga bhai???,5,2023-11-29T05:24:08Z,2025-11-08T20:43:15.741873,fir vapis chahiye aayga bhai
N4Dvapjqnyw,@KarishmaAhirwar-j2i,Nhi aaya,0,2025-11-08T11:13:38Z,2025-11-08T20:43:16.559119,nhi aaya
N4Dvapjqnyw,@PrinceSingh-v9s4d,Sir Iphone me capcut pro kaise chalau please sir bata do🙏🏻,0,2025-11-07T15:48:00Z,2025-11-08T20:43:16.559134,sir iphone capcut pro kaise chalau please sir bata
N4Dvapjqnyw,@GauravManakRandhawa,Update option nhi aa rha hai,0,2025-11-07T12:23:18Z,2025-11-08T20:43:16.559137,update option nhi rha hai
N4Dvapjqnyw,@chaudharinir,Bhai old ui vapis ke liye video dalo yar,0,2025-11-06T01:33:15Z,2025-11-08T20:43:16.559139,bhai old vapis liye video dalo yar
N4Dvapjqnyw,@AbcdEfgh-o1g6n,Bhai vn app me problem chal rahi h ak bar hi fx lga sakte h dusri bar nahi lgrah please help me 🥺🥺,0,2025-11-03T08:49:24Z,2025-11-08T20:43:16.559144,bhai app problem chal rahi bar lga sakte dusri bar nahi lgrah please help
N4Dvapjqnyw,@Mr.srb09,"Raj bhai ek Request tha aaj kl &quot;virtual Influencer&quot; bahut hi viral ho rahe bhai main bhi banana chahta hu but mujhe na hi koi guidance dene wala hai aur na hi mujhe uska road map pta hai bhai maine social media pr bahut - bahut zyada research kiya but Result kuchh nhi hua ho, to virtual Influencer (AI influencer) banana aasan to nhi hai ye main samajh gya hu but Raj bhai mujhe sirf ek road map chahiye chahe vo kitna bhi mushkil kyu na chahe uske liye saal hi kyu na lg jaaye main raat - din ek kar dunga bs mujhe AI influencer banana hai, mujhe aapki help chahiye Raj bhai 😢😢😢",0,2025-10-31T19:16:08Z,2025-11-08T20:43:16.559147,raj bhai request tha aaj quot virtual influencer quot bahut viral rahe bhai main bhi banana chahta mujhe koi guidance dene wala hai aur mujhe uska road map pta hai bhai maine social medium bahut bahut zyada research kiya result kuchh nhi hua virtual influencer influencer banana aasan nhi hai main samajh gya raj bhai mujhe sirf road map chahiye chahe kitna bhi mushkil kyu chahe uske liye saal kyu jaaye main raat din kar dunga mujhe influencer banana hai mujhe aapki help chahiye raj bhai
N4Dvapjqnyw,@editor_abhimanyue5613,Mast,0,2025-10-29T05:50:21Z,2025-11-08T20:43:16.559151,mast
N4Dvapjqnyw,@gowherbashir-q3r,SIR PLEAS SUGGEST  VLOG AND EDITING,0,2025-10-29T05:25:54Z,2025-11-08T20:43:16.559154,sir plea suggest vlog editing
N4Dvapjqnyw,@gowherbashir-q3r,THE MUTAIF VIOG MY CHEN,0,2025-10-29T05:22:56Z,2025-11-08T20:43:16.559160,mutaif viog chen
N4Dvapjqnyw,@gowherbashir-q3r,NICE SIR I  AM YOUR BIG FAN,0,2025-10-29T05:22:14Z,2025-11-08T20:43:16.559163,nice sir big fan
N4Dvapjqnyw,@gamer_life.3,Bhai ab unupdate kese karu pls help kardo 😭,0,2025-10-29T04:55:59Z,2025-11-08T20:43:16.559165,bhai unupdate kese karu pls help kardo
N4Dvapjqnyw,@Jitendraraval612,Sir .instagram page ko.normal instagram kaise kare usake bare main batye ye ga .,1,2025-10-28T12:31:40Z,2025-11-08T20:43:16.559167,sir instagram page normal instagram kaise kare usake bare main batye
N4Dvapjqnyw,@darkhousechannelwithiconic9439,Nice information,0,2025-10-28T11:29:10Z,2025-11-08T20:43:16.559169,nice information
N4Dvapjqnyw,@Ksn_yt-00,Hello bro big fan ❤❤,0,2025-10-28T09:52:53Z,2025-11-08T20:43:16.559174,hello bro big fan
N4Dvapjqnyw,@HabibaKhan-c5c,Mere me update instagram ka option nhi a raha h me kya kru bhaiya,0,2025-10-28T09:32:22Z,2025-11-08T20:43:16.559176,mere update instagram option nhi raha kya kru bhaiya
N4Dvapjqnyw,@vidyabhoir5608,"Raj bhaiya upload this to your next video first of all go to the sweezy cursor then click on first website then we can see different types of customize cursor like anime, sonic, troll face, minecraft sword and etc then you have to download anything you want then go to that computer panel then select mouse option and then click on browse and then click on cursor and enjoy using new style cursor 👍👍🎉💯 pls try this one time 🙏",2,2025-10-27T19:59:46Z,2025-11-08T20:43:16.559178,raj bhaiya upload next video first sweezy cursor click first website see different type customize cursor like anime sonic troll face minecraft sword etc download anything want computer panel select mouse option click browse click cursor enjoy using new style cursor pls try one time
N4Dvapjqnyw,@CreativeVlogsPatna,Wow,0,2025-10-27T19:48:22Z,2025-11-08T20:43:16.559180,wow
N4Dvapjqnyw,@gyanibaba546,Bhai aapka knowledge kamal ka hai,0,2025-10-27T19:34:46Z,2025-11-08T20:43:16.559183,bhai aapka knowledge kamal hai
N4Dvapjqnyw,@hdanimation-s4h,Check me also,0,2025-10-27T19:00:41Z,2025-11-08T20:43:16.559185,check also
N4Dvapjqnyw,@NavneetUpadhyay-c8j,Mujhe update instagram ka option mil hi nhi raha,1,2025-10-27T17:53:53Z,2025-11-08T20:43:16.559187,mujhe update instagram option mil nhi raha
N4Dvapjqnyw,@Ganesh-x7t2y,<b>taarak mehta ka ulta chasma ke next sodhi app hoge</b>,3,2025-10-27T16:27:36Z,2025-11-08T20:43:16.559189,taarak mehta ulta chasma next sodhi app hoge
N4Dvapjqnyw,@Humar-h9f,Instagram Paisa nahin deta Hai Mera 16000 flower hai,0,2025-10-27T16:17:33Z,2025-11-08T20:43:16.559192,instagram paisa nahin deta hai mera flower hai
N4Dvapjqnyw,@LaibaFatima-w4i,Instagram ke video par music copyright aay to kya kre......iska koi solution bataye na please sir,0,2025-10-27T16:11:47Z,2025-11-08T20:43:16.559194,instagram video par music copyright aay kya kre iska koi solution bataye please sir
N4Dvapjqnyw,@PencileArt90,Sir instagram pe schedule post ka options nahi aa raha hai,0,2025-10-27T15:56:37Z,2025-11-08T20:43:16.559196,sir instagram schedule post option nahi raha hai
