video_id,author,text,like_count,published_at,fetched_at,cleaned_text
OqRfZjdqpO8,@HanumanagoudaNaya,Feck,0,2025-10-27T15:20:37Z,2025-11-14T17:30:02.347413Z,feck
OqRfZjdqpO8,@MohanRajMoHanRaj-t7f,Noo bro 😢,0,2025-10-12T14:44:21Z,2025-11-14T17:30:02.347462Z,noo bro
OqRfZjdqpO8,@veluc6079,Thividiya paiya ommala unna vai la aana pollu,0,2025-09-13T09:23:42Z,2025-11-14T17:30:02.347472Z,thividiya paiya ommala unna vai aana pollu
OqRfZjdqpO8,@RossySharma-m,Nice,5,2025-07-24T03:12:45Z,2025-11-14T17:30:02.347479Z,nice
OqRfZjdqpO8,@hasnengamer2396,Fir vapis chahiye to aayga bhai???,5,2023-11-29T05:24:08Z,2025-11-14T17:30:02.347486Z,fir vapis chahiye aayga bhai
ve3kvQxETx0,@NimeshBytes,Instagram new update ko remove karne ke liye related video click karke full video dekhe👆,9,2025-10-29T11:22:43Z,2025-11-14T17:30:03.024312Z,instagram new update remove karne liye related video click karke full video dekhe
ve3kvQxETx0,@Muskaan-i6h,Not now ja opstion nai hai bhai,0,2025-11-13T05:10:36Z,2025-11-14T17:30:03.024323Z,opstion nai hai bhai
ve3kvQxETx0,@SayaniNaskar-ri4qk,I don&#39;t do anything yet it changed how can I see my massenger in instgram,1,2025-11-07T15:33:37Z,2025-11-14T17:30:03.024326Z,anything yet changed see massenger instgram
ve3kvQxETx0,@KusumaV-p5m,Comment,0,2025-11-05T15:04:48Z,2025-11-14T17:30:03.024328Z,comment
ve3kvQxETx0,@FardeenSidd-g8l,Bhai mujhe pata nahin tha maine kar diya ab Main Kya Karun,2,2025-11-04T19:35:12Z,2025-11-14T17:30:03.024331Z,bhai mujhe pata nahin tha maine kar diya main kya karun
ve3kvQxETx0,@NimeshBytes,Jankari pasand aaya ho SUBSCRIBE kar lo yaar,1,2025-11-02T04:46:14Z,2025-11-14T17:30:03.024333Z,jankari pasand aaya subscribe kar yaar
ve3kvQxETx0,@RiturajSingh-r5m,Mene abhi just kar liya tab puch ne aata ki sahi kaise kare...😢,15,2025-11-01T11:48:55Z,2025-11-14T17:30:03.024336Z,mene abhi kar liya tab puch aata sahi kaise kare
ve3kvQxETx0,@TheRealNikhilGamer,Nice video ❤,0,2025-10-31T15:45:31Z,2025-11-14T17:30:03.024338Z,nice video
ve3kvQxETx0,@darkshadow6802,Bhai draw ka option nhi ara,0,2025-10-29T18:24:48Z,2025-11-14T17:30:03.024341Z,bhai draw option nhi ara
ve3kvQxETx0,@NimeshBytes,DON&#39;T FORGET TO SUBSCRIBE ❤,2,2025-10-29T17:56:34Z,2025-11-14T17:30:03.024343Z,forget subscribe
ve3kvQxETx0,@NimeshKumar-do8rf,Hii,1,2025-10-29T17:48:15Z,2025-11-14T17:30:03.024346Z,hii
ve3kvQxETx0,@RameshKumar-s7k,Thank you bro❤,4,2025-10-29T17:42:01Z,2025-11-14T17:30:03.024348Z,thank bro
ve3kvQxETx0,@Ishant_Atala,Mera ho gaya,1,2025-10-29T07:11:32Z,2025-11-14T17:30:03.024350Z,mera gaya
ve3kvQxETx0,@PottiPotti143-r8v,How to change new to old,4,2025-10-28T05:23:13Z,2025-11-14T17:30:03.024355Z,change new old
uV5fUHPoqlc,@kn0wngirl4791,Kuch bhi post kardo gha ap ab,17,2025-04-06T21:53:11Z,2025-11-14T17:30:03.670835Z,kuch bhi post kardo gha
