video_id,author,text,like_count,published_at,fetched_at
OqRfZjdqpO8,@HanumanagoudaNaya,Feck,0,2025-10-27T15:20:37Z,2025-11-15T07:11:09.068336Z
OqRfZjdqpO8,@MohanRajMoHanRaj-t7f,Noo bro 😢,0,2025-10-12T14:44:21Z,2025-11-15T07:11:09.068382Z
OqRfZjdqpO8,@veluc6079,Thividiya paiya ommala unna vai la aana pollu,0,2025-09-13T09:23:42Z,2025-11-15T07:11:09.068391Z
OqRfZjdqpO8,@RossySharma-m,Nice,5,2025-07-24T03:12:45Z,2025-11-15T07:11:09.068397Z
OqRfZjdqpO8,@hasnengamer2396,Fir vapis chahiye to aayga bhai???,5,2023-11-29T05:24:08Z,2025-11-15T07:11:09.068403Z
uV5fUHPoqlc,@kn0wngirl4791,Kuch bhi post kardo gha ap ab,17,2025-04-06T21:53:11Z,2025-11-15T07:11:10.088140Z
N4Dvapjqnyw,@sohilchauhan6755,update Instagram nahi a Raha,0,2025-11-10T17:31:17Z,2025-11-15T07:11:11.217765Z
N4Dvapjqnyw,@KarishmaAhirwar-j2i,Nhi aaya,0,2025-11-08T11:13:38Z,2025-11-15T07:11:11.217785Z
N4Dvapjqnyw,@PrinceSingh-v9s4d,Sir Iphone me capcut pro kaise chalau please sir bata do🙏🏻,0,2025-11-07T15:48:00Z,2025-11-15T07:11:11.217792Z
N4Dvapjqnyw,@GauravManakRandhawa,Update option nhi aa rha hai,0,2025-11-07T12:23:18Z,2025-11-15T07:11:11.217798Z
N4Dvapjqnyw,@chaudharinir,Bhai old ui vapis ke liye video dalo yar,0,2025-11-06T01:33:15Z,2025-11-15T07:11:11.217804Z
N4Dvapjqnyw,@GhostPunch-g9g4x,❤️,0,2025-11-03T14:27:51Z,2025-11-15T07:11:11.217810Z
N4Dvapjqnyw,@AbcdEfgh-o1g6n,Bhai vn app me problem chal rahi h ak bar hi fx lga sakte h dusri bar nahi lgrah please help me 🥺🥺,0,2025-11-03T08:49:24Z,2025-11-15T07:11:11.217816Z
N4Dvapjqnyw,@Mr.srb09,"Raj bhai ek Request tha aaj kl &quot;virtual Influencer&quot; bahut hi viral ho rahe bhai main bhi banana chahta hu but mujhe na hi koi guidance dene wala hai aur na hi mujhe uska road map pta hai bhai maine social media pr bahut - bahut zyada research kiya but Result kuchh nhi hua ho, to virtual Influencer (AI influencer) banana aasan to nhi hai ye main samajh gya hu but Raj bhai mujhe sirf ek road map chahiye chahe vo kitna bhi mushkil kyu na chahe uske liye saal hi kyu na lg jaaye main raat - din ek kar dunga bs mujhe AI influencer banana hai, mujhe aapki help chahiye Raj bhai 😢😢😢",0,2025-10-31T19:16:08Z,2025-11-15T07:11:11.217822Z
N4Dvapjqnyw,@editor_abhimanyue5613,🎉🎉🎉🎉,1,2025-10-29T05:50:27Z,2025-11-15T07:11:11.217828Z
N4Dvapjqnyw,@editor_abhimanyue5613,Mast,0,2025-10-29T05:50:21Z,2025-11-15T07:11:11.217834Z
N4Dvapjqnyw,@gowherbashir-q3r,SIR PLEAS SUGGEST  VLOG AND EDITING,0,2025-10-29T05:25:54Z,2025-11-15T07:11:11.217840Z
N4Dvapjqnyw,@gowherbashir-q3r,THE MUTAIF VIOG MY CHEN,0,2025-10-29T05:22:56Z,2025-11-15T07:11:11.217845Z
N4Dvapjqnyw,@gowherbashir-q3r,NICE SIR I  AM YOUR BIG FAN,0,2025-10-29T05:22:14Z,2025-11-15T07:11:11.217851Z
N4Dvapjqnyw,@gamer_life.3,Bhai ab unupdate kese karu pls help kardo 😭,1,2025-10-29T04:55:59Z,2025-11-15T07:11:11.217857Z
N4Dvapjqnyw,@Jitendraraval612,Sir .instagram page ko.normal instagram kaise kare usake bare main batye ye ga .,1,2025-10-28T12:31:40Z,2025-11-15T07:11:11.217863Z
N4Dvapjqnyw,@darkhousechannelwithiconic9439,Nice information,0,2025-10-28T11:29:10Z,2025-11-15T07:11:11.217868Z
N4Dvapjqnyw,@Ar.Shreeman712,नहीं चाहिए ये अपडेट...  आदत हो जाणे की बाद बटन शिफ्ट नहीं करवाना अब🤦🏻‍♂️🤦🏻‍♂️,2,2025-10-28T10:33:39Z,2025-11-15T07:11:11.217874Z
N4Dvapjqnyw,@Ksn_yt-00,Hello bro big fan ❤❤,0,2025-10-28T09:52:53Z,2025-11-15T07:11:11.217879Z
N4Dvapjqnyw,@HabibaKhan-c5c,Mere me update instagram ka option nhi a raha h me kya kru bhaiya,0,2025-10-28T09:32:22Z,2025-11-15T07:11:11.217884Z
N4Dvapjqnyw,@vidyabhoir5608,"Raj bhaiya upload this to your next video first of all go to the sweezy cursor then click on first website then we can see different types of customize cursor like anime, sonic, troll face, minecraft sword and etc then you have to download anything you want then go to that computer panel then select mouse option and then click on browse and then click on cursor and enjoy using new style cursor 👍👍🎉💯 pls try this one time 🙏",2,2025-10-27T19:59:46Z,2025-11-15T07:11:11.217890Z
N4Dvapjqnyw,@CreativeVlogsPatna,Wow,0,2025-10-27T19:48:22Z,2025-11-15T07:11:11.217896Z
N4Dvapjqnyw,@gyanibaba546,Bhai aapka knowledge kamal ka hai,0,2025-10-27T19:34:46Z,2025-11-15T07:11:11.217902Z
N4Dvapjqnyw,@hdanimation-s4h,Check me also,0,2025-10-27T19:00:41Z,2025-11-15T07:11:11.217907Z
N4Dvapjqnyw,@NavneetUpadhyay-c8j,Mujhe update instagram ka option mil hi nhi raha,1,2025-10-27T17:53:53Z,2025-11-15T07:11:11.217913Z
N4Dvapjqnyw,@Ganesh-x7t2y,<b>taarak mehta ka ulta chasma ke next sodhi app hoge</b>,3,2025-10-27T16:27:36Z,2025-11-15T07:11:11.217919Z
N4Dvapjqnyw,@Humar-h9f,Instagram Paisa nahin deta Hai Mera 16000 flower hai,0,2025-10-27T16:17:33Z,2025-11-15T07:11:11.217924Z
N4Dvapjqnyw,@LaibaFatima-w4i,Instagram ke video par music copyright aay to kya kre......iska koi solution bataye na please sir,0,2025-10-27T16:11:47Z,2025-11-15T07:11:11.217930Z
N4Dvapjqnyw,@PencileArt90,Sir instagram pe schedule post ka options nahi aa raha hai,0,2025-10-27T15:56:37Z,2025-11-15T07:11:11.217936Z
N4Dvapjqnyw,@Dark_Knig8t,This is the man with zero% haters with 100% kindness😊😊,0,2025-10-27T15:55:37Z,2025-11-15T07:11:11.217941Z
N4Dvapjqnyw,@srikanthdusija4048,Mujhe yeh feature Nai Mila abhi Tak,0,2025-10-27T15:20:37Z,2025-11-15T07:11:11.217947Z
N4Dvapjqnyw,@official_ashvik1,❤️,0,2025-10-27T15:13:54Z,2025-11-15T07:11:11.217953Z
N4Dvapjqnyw,@allrounde2619,Mere ek I&#39;d me collaboration nahi ho raha hai plz,0,2025-10-27T14:58:26Z,2025-11-15T07:11:11.217959Z
N4Dvapjqnyw,@azeemtariasutariaTarasutariaaz,Thank you paji 😊❤❤,0,2025-10-27T14:56:09Z,2025-11-15T07:11:11.217964Z
N4Dvapjqnyw,@maazali6352,Kashmir on Top🙌🏻❤️,0,2025-10-27T14:45:17Z,2025-11-15T07:11:11.217970Z
N4Dvapjqnyw,@fun4uf-04,Thanks for information bhaiji❤,1,2025-10-27T14:35:05Z,2025-11-15T07:11:11.217975Z
N4Dvapjqnyw,@DhananjayNayak-q4l,Mereko app perfect lagte ho iss mamle main,0,2025-10-27T14:34:03Z,2025-11-15T07:11:11.217981Z
N4Dvapjqnyw,@jeonmafiaking,Love you paji ❤😂,0,2025-10-27T14:33:31Z,2025-11-15T07:11:11.217985Z
N4Dvapjqnyw,@Haseeb-U-Rehman-x9v3x,Meherbani Sardar Sahab❤😊,0,2025-10-27T14:33:19Z,2025-11-15T07:11:11.217991Z
N4Dvapjqnyw,@RAVAN-GAMING-73,Main aapka bahut bada fan hun I love you ❤❤❤❤❤❤❤❤❤,0,2025-10-27T14:31:45Z,2025-11-15T07:11:11.217997Z
N4Dvapjqnyw,@Arpit77-z2z,Thank you paji🎉,1,2025-10-27T14:31:18Z,2025-11-15T07:11:11.218002Z
