2025-12-08 21:12:32 | INFO | model.train_model: 🎓 Training best sentiment model...
2025-12-08 21:12:32 | INFO | model.train_model: 🎓 Training and comparing sentiment models...
2025-12-08 21:12:32 | ERROR | utils.exception: ❌ Exception in model_comparison: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 21:12:32 | ERROR | utils.exception: ❌ Exception in model_training: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:40:05 | INFO | model.train_model: 🎓 Training best sentiment model...
2025-12-08 22:40:05 | INFO | model.train_model: 🎓 Training and comparing sentiment models...
2025-12-08 22:40:05 | ERROR | utils.exception: ❌ Exception in model_comparison: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:40:05 | ERROR | utils.exception: ❌ Exception in model_training: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:40:09 | INFO | model.train_model: 🎓 Training best sentiment model...
2025-12-08 22:40:09 | INFO | model.train_model: 🎓 Training and comparing sentiment models...
2025-12-08 22:40:09 | ERROR | utils.exception: ❌ Exception in model_comparison: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:40:09 | ERROR | utils.exception: ❌ Exception in model_training: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:42:52 | INFO | model.train_model: 🎓 Training best sentiment model...
2025-12-08 22:42:52 | INFO | model.train_model: 🎓 Training and comparing sentiment models...
2025-12-08 22:42:52 | ERROR | utils.exception: ❌ Exception in model_comparison: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:42:52 | ERROR | utils.exception: ❌ Exception in model_training: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:43:58 | INFO | model.train_model: 🎓 Training best sentiment model...
2025-12-08 22:43:58 | INFO | model.train_model: 🎓 Training and comparing sentiment models...
2025-12-08 22:43:58 | ERROR | utils.exception: ❌ Exception in model_comparison: DataProcessingError - Missing columns in data: {'view_count'}
2025-12-08 22:43:58 | ERROR | utils.exception: ❌ Exception in model_training: DataProcessingError - Missing columns in data: {'view_count'}
